Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2008-12-01,Alburyg,IB.4,22.9,0.6,15.3712,14.03,W,44.0,W,WNW,20.0,24.0,22.0,71.0,1007.7,1007.1,8.0,5.604,lC.9,21.8,No,No
2008-12-02,Alburyg,7.4,zS.1,14.03,15.3712,0.0,WNW,22.0,NNW,WSW,4.0,44.0,25.0,44.0,1007.8,1010.6,6.994,5.604,17.2,24.3,No,No
2008-12-03,Alburyg,12.9,25.7,0.0,15.3712,14.03,WSW,46.0,W,WSW,19.0,26.0,30.0,38.0,1007.6,1008.7,6.994,2.0,21.0,23.2,No,No
2008-12-04,Alburyg,9.2,28.0,14.03,15.3712,0.0,NE,24.0,SE,E,11.0,9.0,16.0,45.0,1017.6,1012.8,C.g94,5.604,I3.1,26.5,No,No
2008-12-05,Alburyg,l7.8,32.3,1.0,14.03,15.3712,W,41.0,ENE,NW,7.0,20.0,33.0,82.0,1010.8,1006.0,7.0,8.0,17.8,29.7,No,No
2008-12-06,Alburyg,I4.b,29.7,0.2,15.3712,14.03,W,56.0,W,WNW,19.0,24.0,23.0,55.0,1009.2,1005.4,6.994,5.604,20.6,28.9,No,No
2008-12-07,Alburyg,14.3,25.0,0.0,15.3712,14.03,W,50.0,SW,W,24.0,20.0,19.0,49.0,1008.2,1009.6,1.0,5.604,18.1,24.6,No,No
2008-12-08,Alburyg,7.7,26.7,0.0,15.3712,14.03,W,35.0,SSE,W,6.0,l7.D,19.0,48.0,1013.4,1010.1,6.994,5.604,16.3,25.5,No,No
2008-12-09,Alburyg,9.7,31.9,0.0,15.3712,I4.83,NNW,80.0,NW,SE,1.D,28.0,9.0,42.0,1008.9,700B.6,6.994,5.604,18.3,30.2,No,Yes
2008-12-10,Alburyg,13.1,30.1,1.4,15.3712,14.03,W,28.0,S,SSE,15.0,11.0,27.0,58.0,1007.0,1005.7,6.994,5.604,20.1,28.2,Yes,No
2008-12-11,Alburyg,13.4,30.4,0.0,15.3712,14.03,N,30.0,SSE,ESE,17.0,C.D,22.0,48.0,1011.8,1008.7,6.994,5.604,20.4,28.8,No,Yes
2008-12-12,Alburyg,15.9,21.7,2.2,15.3712,74.0B,NE,31.0,NNE,ENE,15.0,13.0,91.0,89.0,1010.5,1004.2,8.0,8.0,15.9,17.0,Yes,Yes
2008-12-13,Alburyg,15.9,18.6,15.6,15.3712,14.03,W,61.0,NNW,NNW,28.0,28.0,93.0,76.0,994.3,993.0,8.0,8.0,17.4,15.8,Yes,Yes
2008-12-14,Alburyg,12.6,Z7.0,8.G,15.3712,14.03,5W,44.8,W,SSW,24.0,20.0,43.0,65.0,1001.2,1001.8,6.994,7.0,15.8,19.8,Yes,No
2008-12-15,Alburyg,8.4,24.6,0.0,15.3712,14.03,W,29.993,S,WNW,4.0,30.0,32.0,57.0,1009.7,1008.7,6.994,5.604,15.9,23.5,No,No
2008-12-16,Alburyg,9.8,27.7,15.3712,124.803,14.03,WNW,50.0,N,WNW,58.62,22.0,28.0,50.0,1013.4,1010.3,0.0,5.604,17.3,z6.Z,No,No
2008-12-17,Alburyg,14.1,20.9,0.0,75.371Z,14.03,ENE,22.0,SSW,E,11.0,9.0,82.0,69.0,1012.2,1010.4,8.0,1.0,17.2,18.1,No,Yes
2008-12-18,Alburyg,13.5,22.9,16.8,15.3712,74.O3,W,63.0,N,WNW,6.0,20.0,65.0,80.0,1005.8,1002.2,8.0,1.0,18.0,21.5,Ye8,Yes
2008-12-19,Alburyg,11.2,22.5,10.6,15.3712,14.03,SSE,43.0,WSW,SW,24.0,17.0,32.0,47.0,1009.4,1009.7,6.994,2.0,15.5,21.0,Yes,No
2008-12-20,Alburyg,9.8,25.6,15.3712,0.0,14.03,SSE,26.0,SE,NNW,17.0,6.0,26.0,45.0,1019.2,1017.1,6.994,5.604,15.8,23.2,N0,No
2008-12-21,Alburyg,29.3,11.5,0.0,15.3712,14.03,S,24.0,SE,SE,9.0,9.0,28.0,56.0,1019.3,1014.8,6.994,5.Co4,19.1,27.3,No,No
2008-12-22,Alburyg,17.1,33.0,0.0,14.03,15.3712,N,17.0,NE,NE,43.0,22.0,28.0,38.0,1013.6,1008.1,6.994,1.0,24.5,31.6,No,No
2008-12-23,Alburyg,20.5,31.8,0.0,15.3712,14.03,WNW,41.0,W,W,lq.0,29.O,24.0,54.0,1007.8,1005.7,6.994,5.604,23.8,30.8,No,No
